501255.6667,405547.3333,419422,359843.3333,588546.3333,424460,413049,534519,489675.3333,604882.3333,499817.3333,480405.3333,469900.3333,490222.3333,520366,481559.6667,491368.6667,475364,479948.6667,458132.3333,453932.6667,455214.6667,455529.3333,534394.6667,521641.6667,529381.3333,446604.3333
501234,405528.6667,419457,359837,588548.3333,424485.3333,413062,534576.6667,489708.6667,604940,499829,480454.3333,469882.6667,490260,520345.6667,481672,491409.3333,475457,479965,458112.6667,453749,455140.3333,455494.3333,534326.6667,521679.6667,529367.6667,446523.3333
501211.6667,405547,419561.6667,359860,588595.6667,424504.3333,413053.6667,534660.3333,489720,604966,499836.3333,480542.6667,469935.3333,490268.6667,520324.6667,481781,491449,475536.3333,479951,458055.3333,453662.6667,455062,455471.6667,534331.3333,521764.3333,529390,446445.3333
501189.6667,405536.6667,419648.3333,359874.3333,588560.3333,424515.3333,413044.6667,534719.6667,489777.6667,604991,499837.3333,480619.6667,469951,490337.3333,520279.3333,481830.6667,491500.3333,475619,479920,458046.3333,453599.3333,455034.3333,455443.3333,534310.6667,521872.3333,529424,446285.3333
501194,405545.6667,419711.3333,359895.6667,588568.6667,424494.3333,413052.3333,534788.3333,489819.3333,604956.6667,499824.3333,480714.3333,469973.6667,490454.6667,520234,481927,491531.3333,475691,479926,458053,453581.3333,454983,455383.3333,534339,521920.3333,529445,446131
501172,405510.6667,419702.3333,359866.6667,588549,424462,413075.3333,534791.3333,489845,605001.6667,499821.3333,480815.3333,470019.3333,490560.3333,520245.3333,482017.3333,491516.3333,475798.3333,479902,458067.6667,453580,454973.6667,455340,534275.3333,521971.3333,529458,445910
501143,405545.6667,419663.3333,359876.3333,588529,424445.3333,413068,534819,489794.3333,605027.6667,499824,480924.6667,470071.3333,490641.6667,520230.3333,482172.3333,491472.6667,475863.3333,479934,458061.3333,453553,454884,455300.3333,534223.3333,522000,529465.3333,445819
501107.3333,405523.3333,419573.3333,359837.6667,588507.3333,424432.3333,413092.3333,534809,489762.6667,605101,499823.6667,481004.3333,470129.6667,490669,520237,482276.3333,491445,475941.3333,479887.6667,458042.3333,453487,454825.3333,455298.6667,534141.3333,522061,529456.3333,445674
501098,405512.3333,419490.6667,359816.3333,588453,424424.3333,413108,534874.3333,489747,605147.6667,499817.6667,481081.6667,470135.6667,490719.3333,520169.6667,482442,491419.3333,475986,479883.3333,458020.3333,453467.3333,454764.6667,455339.3333,534117.3333,522114.3333,529457.6667,445540.6667
501069.3333,405522.6667,419457.6667,359810.6667,588428.6667,424422.3333,413127,534900.3333,489821.6667,605186,499818,481164.3333,470148,490786.6667,520163.6667,482556.3333,491424.6667,476017.6667,479895,458005,453478,454759,455348,534088.3333,522197.6667,529463,445377.3333
