551139.3333,394641,391788.3333,388309,437353,431463.6667,607296,557530.3333,570418,404866.6667,683863.6667,410853.6667,384359.6667,405601.6667,375044.6667,389315.3333,419588.6667,567164.3333,566583.6667,669105.6667,663428.3333,560921.6667,424096.3333,374347,594203.6667,567161.3333,552979,552315.3333,388991,384059.6667,569362.6667,560099.3333,559106.3333,586614.3333,556376,368908.6667,574167.6667,565385.3333,380920.3333,596312,578734.6667,578734.6667,578734.6667,581874.6667,556684.6667,367200.3333,564079,381282,561031.6667,550582.6667,380261.3333,578734.6667
551131.6667,394673.3333,391777.6667,388267.6667,437324.3333,431392,607328.6667,557497.3333,570392,404861.3333,683866.3333,411155.6667,384344.3333,405643.3333,375032.6667,389428.3333,419508,567156,566595.6667,669113.3333,663393.3333,560813,424131.6667,374326.3333,594270.6667,567112,553021.6667,552359.3333,389005.6667,384009.6667,569417,560102.3333,559042,586668.3333,556529.6667,368887.6667,574144,565391,380929.6667,596259.3333,578745,578745,578745,581911.3333,556708.6667,367173.3333,563963.3333,381198.6667,560833,550474.6667,380274.6667,578745
551059.3333,394692.3333,391802,388273,437300.6667,431365.6667,607311,557506.3333,570360,404881,683897.3333,411334.6667,384328.6667,405657.3333,375040.3333,389534,419456,567143.6667,566565.6667,669127.6667,663388.6667,560746,424151.3333,374282.6667,594371.3333,567107,553040.3333,552336,388997.3333,384007.6667,569428.6667,560085,559025.6667,586725.3333,556706.3333,368894.3333,574137.3333,565431.3333,380952.6667,596201.6667,578747,578747,578747,581927,556706,367168.6667,563924.6667,381145.6667,560599.3333,550347.3333,380280.3333,578747
551100.3333,394712.6667,391838,388273.3333,437265,431420.6667,607359,557460.3333,570308.6667,404883.6667,683913,411547.6667,384286.6667,405623.6667,375041,389632.6667,419390.3333,567155,566551.3333,669147.6667,663363,560736.6667,424161.3333,374305.6667,594454.3333,567111.3333,553022.6667,552276,389004.6667,383995,569459.3333,560040.6667,559028.6667,586687.3333,556912.3333,368893.6667,574083,565464.3333,380934.6667,596140,578769,578769,578769,582005.3333,556687.6667,367216,563881.3333,381066.3333,560340,550182.3333,380301.6667,578769
551099.3333,394684.3333,391875.3333,388269,437259.3333,431435,607409,557422,570314.6667,404889.6667,683900.6667,411957.3333,384301.6667,405626.6667,375046,389643,419332.6667,567147.6667,566551.6667,669155.3333,663369.6667,560774.6667,424195.6667,374284.3333,594496.6667,567137.6667,553031,552156.6667,389006,383966.3333,569449,560054,559068,586730.3333,557063,368896.6667,574058,565479,380943,596041,578753,578753,578753,582075.6667,556652.3333,367255.6667,563901.6667,381001.3333,560041.3333,550092.3333,380304.6667,578753
551132,394678.6667,391912.6667,388223.3333,437198.3333,431452,607481.3333,557374.6667,570350,404881.3333,683881.3333,412492.3333,384327.3333,405616,375053.6667,389679.6667,419251.3333,567140.3333,566539.6667,669202.6667,663347.6667,560816,424206.6667,374276.6667,594554.3333,567095.3333,553000.6667,552024.3333,389035,383916.3333,569495,559988.3333,559049.3333,586739,557215.3333,368915.3333,573975.6667,565495.3333,380972,596003,578696.6667,578696.6667,578696.6667,582112.3333,556616.3333,367271.3333,563903,380945.6667,559757,550036.6667,380308.3333,578696.6667
551134.3333,394665,391915.3333,388208.3333,437138,431453,607481,557434.6667,570389.3333,404883,683877.6667,412996.3333,384362.6667,405668,375051.3333,389677.6667,419171,567093.3333,566525.6667,669234.6667,663331.6667,560859.6667,424198.6667,374281.6667,594601.3333,567063.3333,552973.6667,551935.6667,389062.3333,383890.6667,569537.3333,559980,559023.6667,586806.3333,557369,368950.3333,573983.3333,565526.6667,381025,595970.6667,578644.6667,578644.6667,578644.6667,582124,556595,367287.6667,563920.3333,380875.3333,559551.3333,549980.3333,380293,578644.6667
551151,394715.6667,391960.6667,388167,437065.3333,431454.6667,607482.6667,557423.3333,570332,404894.6667,683892.6667,413295,384399.6667,405711,375030.6667,389712.6667,419084.3333,567062,566541.6667,669295.3333,663325.6667,560915.6667,424172,374336.3333,594676.6667,566980,552945,551864.3333,389072.3333,383879.3333,569580,559957.6667,558964.6667,586863.6667,557479.6667,368978,573986.3333,565549.6667,381060,595974,578647.6667,578647.6667,578647.6667,582166,556542.3333,367295,563926.6667,380832,559385.6667,549897,380280.6667,578647.6667
551142.3333,394697,391973.3333,388151,437048,431423,607483.6667,557424.3333,570275.3333,404907.3333,683898.6667,413544.3333,384422,405778.3333,375015,389722.3333,419069,567030.3333,566555.6667,669319.3333,663314,560946.6667,424157.3333,374356,594701.3333,566909.3333,552926.3333,551737.6667,389084,383862.6667,569586,559949.3333,558967.3333,586932,557524.6667,368988,574019.6667,565602.3333,381081,595975.6667,578662,578662,578662,582204.3333,556509,367311.3333,563947.6667,380817,559227.6667,549826.3333,380289.3333,578662
551114.3333,394705.3333,392016.3333,388125,437046.3333,431422.3333,607528.3333,557386.6667,570265.3333,404926.3333,683897.3333,413724,384426.3333,405809.6667,374972.3333,389757.6667,419028,567060,566595.3333,669347.3333,663329,560957,424168,374328,594802.6667,566820.6667,552903.3333,551607.3333,389082,383863.3333,569548,559924.3333,558971,586987.3333,557548,369019.6667,574043.3333,565659.6667,381086.3333,595948.3333,578705,578705,578705,582248,556431.6667,367312.3333,563988,380798,559100.6667,549790,380311.3333,578705
